Date : 2024-04-04 20:36:54
Directory : c:\Users\hites\Desktop\Projects\automation_builder
Total : 102 files,  14892 codes, 180 comments, 771 blanks, all 15843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\settings\_components\profile-picture.tsx                                   | TypeScript JSX     |         44 |          0 |          6 |         50 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\settings\_components\uploadcare-button.tsx                                 | TypeScript JSX     |         46 |          1 |         11 |         58 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\settings\page.tsx                                                          | TypeScript JSX     |         73 |          0 |          9 |         82 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_actions\workflow-connections.tsx                                | TypeScript JSX     |        159 |          2 |         20 |        181 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_components\index.tsx                                            | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_components\workflow-button.tsx                                  | TypeScript JSX     |         27 |          1 |          7 |         35 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_components\workflow.tsx                                         | TypeScript JSX     |         74 |          1 |          5 |         80 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_actions\workflow-connections.tsx              | TypeScript JSX     |         33 |          0 |          6 |         39 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\action-button.tsx                  | TypeScript JSX     |         99 |         50 |         17 |        166 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\content-based-on-title.tsx         | TypeScript JSX     |        124 |          4 |         12 |        140 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\custom-handle.tsx                  | TypeScript JSX     |         33 |          1 |          7 |         41 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-card-icon-helper.tsx | TypeScript JSX     |         47 |          0 |          4 |         51 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-card-single.tsx      | TypeScript JSX     |         73 |          1 |          4 |         78 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-sidebar.tsx          | TypeScript JSX     |        106 |          0 |          6 |        112 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas.tsx                  | TypeScript JSX     |        229 |          9 |         24 |        262 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\flow-instance.tsx                  | TypeScript JSX     |         62 |          0 |         11 |         73 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\google-drive-files.tsx             | TypeScript JSX     |         74 |          0 |          8 |         82 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\google-file-details.tsx            | TypeScript JSX     |         44 |          0 |          6 |         50 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\render-connection-accordion.tsx    | TypeScript JSX     |         76 |          0 |          5 |         81 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\render-output-accordian.tsx        | TypeScript JSX     |         28 |          1 |          4 |         33 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\page.tsx                                       | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\page.tsx                                                  | TypeScript JSX     |          6 |          1 |          4 |         11 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\page.tsx                                                         | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\layout.tsx                                                                         | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\api\clerk-webhook\route.ts                                                                | TypeScript         |         32 |          0 |          9 |         41 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\globals.css                                                                               | CSS                |         71 |          0 |          5 |         76 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\layout.tsx                                                                                | TypeScript JSX     |         39 |          0 |          4 |         43 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\page.tsx                                                                                  | TypeScript JSX     |        187 |          0 |          6 |        193 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\forms\profile-form.tsx                                                             | TypeScript JSX     |        100 |          0 |          7 |        107 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\forms\workflow-form.tsx                                                            | TypeScript JSX     |        100 |          9 |          7 |        116 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\3d-card.tsx                                                                 | TypeScript JSX     |        138 |          1 |         12 |        151 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\connect-parallax.tsx                                                        | TypeScript JSX     |        154 |          0 |          5 |        159 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\container-scroll-animation.tsx                                              | TypeScript JSX     |         96 |          0 |          7 |        103 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\custom-modal.tsx                                                            | TypeScript JSX     |         44 |          0 |          6 |         50 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\infinite-moving-cards.tsx                                                   | TypeScript JSX     |         96 |          0 |          6 |        102 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\lamp.tsx                                                                    | TypeScript JSX     |        112 |          0 |          5 |        117 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\mode-toggle.tsx                                                             | TypeScript JSX     |         38 |          0 |          3 |         41 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\navbar.tsx                                                                  | TypeScript JSX     |         60 |          0 |          4 |         64 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\sparkles.tsx                                                                | TypeScript JSX     |        434 |          0 |          5 |        439 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\category.tsx                                                                 | TypeScript JSX     |         60 |          0 |          4 |         64 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\clipboard.tsx                                                                | TypeScript JSX     |         51 |          0 |          3 |         54 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\cloud_download.tsx                                                           | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\home.tsx                                                                     | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\payment.tsx                                                                  | TypeScript JSX     |         47 |          0 |          4 |         51 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\settings.tsx                                                                 | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\workflows.tsx                                                                | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\infobar\index.tsx                                                                  | TypeScript JSX     |         49 |         24 |          7 |         80 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\sidebar\index.tsx                                                                  | TypeScript JSX     |         97 |          0 |          4 |        101 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\accordion.tsx                                                                   | TypeScript JSX     |         50 |          0 |          9 |         59 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\badge.tsx                                                                       | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\button.tsx                                                                      | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\card.tsx                                                                        | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\command.tsx                                                                     | TypeScript JSX     |        137 |          0 |         19 |        156 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\dialog.tsx                                                                      | TypeScript JSX     |        109 |          0 |         14 |        123 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\drawer.tsx                                                                      | TypeScript JSX     |        105 |          0 |         14 |        119 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\dropdown-menu.tsx                                                               | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\form.tsx                                                                        | TypeScript JSX     |        152 |          0 |         25 |        177 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\input.tsx                                                                       | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\label.tsx                                                                       | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\multiple-selector.tsx                                                           | TypeScript JSX     |        419 |         38 |         43 |        500 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\resizable.tsx                                                                   | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\separator.tsx                                                                   | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\switch.tsx                                                                      | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\tabs.tsx                                                                        | TypeScript JSX     |         48 |          0 |          8 |         56 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\toast.tsx                                                                       | TypeScript JSX     |        116 |          0 |         14 |        130 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\toaster.tsx                                                                     | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\tooltip.tsx                                                                     | TypeScript JSX     |         23 |          0 |          8 |         31 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\use-toast.ts                                                                    | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\lib\constant.ts                                                                               | TypeScript         |        173 |          0 |          9 |        182 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\lib\db.ts                                                                                     | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\lib\editor-utils.ts                                                                           | TypeScript         |        147 |          2 |         12 |        161 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\lib\types.ts                                                                                  | TypeScript         |         82 |          0 |         11 |         93 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\lib\utils.ts                                                                                  | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\middleware.ts                                                                                 | TypeScript         |         15 |          4 |          3 |         22 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\providers\connections-provider.tsx                                                            | TypeScript JSX     |        116 |          0 |          9 |        125 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\providers\editor-provider.tsx                                                                 | TypeScript JSX     |        143 |          0 |         22 |        165 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\providers\model-provider.tsx                                                                  | TypeScript JSX     |         58 |          0 |         13 |         71 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\providers\theme-provider.tsx                                                                  | TypeScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\store.tsx                                                                                     | TypeScript JSX     |         25 |          2 |          4 |         31 |
| c:\Users\hites\Desktop\Projects\automation_builder\tailwind.config.ts                                                                                | TypeScript         |        134 |          9 |          3 |        146 |
| c:\Users\hites\Desktop\Projects\automation_builder\tsconfig.json                                                                                     | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                                                                                |                    |     14,892 |        180 |        771 |     15,843 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
